LinkingId,CategoryID,ProductID,DisplayOrder
1934392,198,3991,
1934393,198,3992,
1934394,198,2716,
1934395,198,3586,
1934396,198,1168,
1934397,198,3584,
1934398,198,3695,
1934399,198,3702,
1934400,198,1564,
1934401,198,1563,
1934402,198,4004,
1934403,198,4005,
1934404,198,3974,
1934405,198,3980,
1934406,198,3200,
1934407,198,3201,
1934408,198,837,
1934409,198,836,
1934410,198,3610,
1934411,198,3619,
1934412,198,1561,
1934413,198,3585,
1934414,198,1565,
1934415,198,3592,
1934416,198,768,
1934417,198,769,
1934418,198,759,
1934419,198,758,
1934420,198,1558,
1934422,198,3583,
1934423,198,757,
1934424,198,3987,
1934427,198,3575,
1934428,198,3581,
1934429,198,3492,
1934430,198,3491,
1934431,198,3714,
1934432,198,3725,
1934433,198,3211,
1934434,198,3212,
1934435,198,1559,
1934436,198,3587,
1934437,198,770,
1934438,198,772,
1934439,198,3571,
1934440,198,3572,
1934441,198,4007,
1934442,198,3227,
1934443,198,767,
1934444,198,1569,
1934445,198,3374,
1934446,198,3986,
1934447,198,4001,
1934449,198,1957,
1934450,198,760,
1934451,198,3756,
1934452,198,1170,
1934453,198,1169,
1934454,198,764,
1934455,198,1587,
1934456,198,320,
1934457,198,319,
1934458,198,1584,
1934459,198,863,
1934460,198,4037,
1934461,198,2981,
1934462,198,2607,
1934464,198,3080,
1934465,198,854,
1934466,198,1246,
1934467,198,3590,
1934468,198,1583,
1934469,198,2553,
1934470,198,3843,
1934471,198,3853,
1934472,198,2329,
1934473,198,1669,
1934474,198,859,
1934475,198,853,
1934476,198,1560,
1934477,198,3589,
1934478,198,2349,
1934479,198,2352,
1934480,198,1582,
1934481,198,2815,
1934482,198,3837,
1934483,198,3838,
1934484,198,838,
1934485,198,839,
1934486,198,851,
1934487,198,852,
1934488,198,762,
1934489,198,763,
1934490,198,3996,
1934491,198,3997,
1934492,198,1997,
1934493,198,1998,
1934494,198,3866,
1934495,198,3867,
1934496,198,2729,
