Color_Id,Color_Name,Color_Code,Is_Active
1,Black Marble,,Y
2,Green Marble,,Y
7,Gold,G,Y
8,Silver,Sil,Y
9,Red,Rd,Y
10,Black,Bk,Y
11,Walnut,Wal,Y
12,Purple,Plp,Y
13,Hot Pink,HP,Y
14,Orange,Ong,Y
15,Gray,Gry,Y
16,Dark Blue,Dkbl,Y
17,Green,Gn,Y
18,Maroon,Ma,Y
19,Light Pink,LP,Y
20,Dark Pink,DP,Y
21,Black to Gold,BG,Y
22,White Black-letters,WB,Y
23,Black White-letters,BW,Y
24,Red-white letters,RW,Y
25,Brown-white letters,BW,Y
26,Green White-letters,GW,Y
27,Maroon White-letters,MW,Y
28,Yellow-black letters,YB,Y
29,Blue White-Letters,BLW,Y
30,Gray White-letters,GRW,Y
31,Beige-black letters,BEB,Y
32,Orange-white letters,OW,Y
33,Dark-Blue-white letters,DBW,Y
34,Purple-White-letters,PW,Y
35,Walnut White-letters,WAL,Y
36,White-red letters,WR,Y
37,White Blue-letters,WBL,Y
38,White-Green letters,WGN,Y
39,**Gold Metallic-Black Letters,GMB,Y
40,**Silver-Metallic-Black Letters,SMB,Y
41,Copper Metallic-Black Letters,CMB,Y
42,Bronze Metallic-Black Letters,BMB,Y
43,Silver-Gold,SG,Y
44,Gold-Gold,GG,Y
45,Red-Gold,RG,Y
46,Blue-Gold,BG,Y
47,Green-Gold,GRG,Y
48,Oak  ($15 extra cost),OAK,Y
49,Blue Marble,BLMB,Y
50,Red Marble,RMB,Y
51,Hot-Pink-White Letters,HPW,Y
52,Flag,Flag,Y
53,Red White Blue,RWB,Y
54,White,W,Y
55,Rainbow,RBOW,Y
56,Red White,RW,Y
57,Blue White,BW,Y
58,Maroon White,MaW,Y
59,Green White,GrnW,Y
60,Purple White,PrW,Y
61,Black Gold,BkG,Y
62,Purple Gold,PrG,Y
63,Black Red,BkR,Y
64,Black Orange,BkO,Y
65,Maroon Gold,MaG,Y
66,Blue Red,BlR,Y
67,Blue,BL,Y
68,Stars,STR,Y
69,Navy Blue,NAB,Y
70,Yellow,YLL,Y
71,Pink,PNK,Y
72,Green Gold,GrG,Y
73,Orange-Gold,OG,Y
74,Dark Pink - Gold,DPG,Y
75,Light Pink - gold,LPG,Y
76,Hunter Green,HUG,Y
77,Light Blue,LTBL,Y
78,Army,ARM,Y
79,Air Force,AF,Y
80,Navy,NVY,Y
81,Marines,MAR,Y
82,Coast Guard,CG,Y
83,Homeland Security,HOS,Y
84,Army Reserve,ARR,Y
85,National Guard,ANG,Y
86,Insert Your Own,IYO,Y
87,Medal Custom,MEC,Y
88,Clear,CL,Y
89,Brushed Silver,BrSil,Y
90,Cherry,Ch,Y
91,Light Maple,LiMa,Y
