RecordId,ProductId,Size_Id,Min,Max,Price
59,12,1,1,5,0
60,12,1,6,10,0
61,12,1,11,15,0
62,12,1,16,20,0
63,12,1,21,0,0
64,13,1,1,2,57.75
65,13,1,3,4,55.75
66,13,1,5,11,52.75
67,13,1,12,0,0
68,13,1,0,0,0
74,15,1,1,5,0
75,15,1,6,10,0
76,15,1,11,15,0
77,15,1,16,20,0
78,15,1,21,0,0
79,16,1,1,2,0
80,16,1,3,0,0
81,16,1,0,0,0
82,16,1,0,0,0
83,16,1,0,0,0
84,17,1,1,5,0
85,17,1,6,10,0
86,17,1,11,15,0
87,17,1,16,20,0
88,17,1,21,0,0
89,16,2,1,5,0
90,16,2,6,10,0
91,16,2,11,15,0
92,16,2,16,20,0
93,16,2,21,0,0
94,18,1,1,2,84.95
95,18,1,3,11,81.95
96,18,1,12,23,76.95
97,18,1,24,0,0
98,18,1,0,0,0
104,20,1,1,4,0
105,20,1,5,10,0
106,20,1,11,15,0
107,20,1,16,20,0
108,20,1,21,0,0
109,20,2,1,0,0
110,20,2,0,0,0
111,20,2,0,0,0
112,20,2,0,0,0
113,20,2,0,0,0
114,21,1,1,0,0
115,21,1,0,0,0
116,21,1,0,0,0
117,21,1,0,0,0
118,21,1,0,0,0
139,26,1,1,4,0
140,26,1,5,10,0
141,26,1,11,15,0
142,26,1,16,20,0
143,26,1,21,0,0
144,26,2,1,0,0
145,26,2,0,0,0
146,26,2,0,0,0
147,26,2,0,0,0
148,26,2,0,0,0
149,29,1,1,0,0
150,29,1,0,0,0
151,29,1,0,0,0
152,29,1,0,0,0
153,29,1,0,0,0
154,31,1,1,0,0
155,31,1,0,0,0
156,31,1,0,0,0
157,31,1,0,0,0
158,31,1,0,0,0
164,33,1,1,0,0
165,33,1,0,0,0
166,33,1,0,0,0
167,33,1,0,0,0
168,33,1,0,0,0
179,36,2,1,1,66.75
180,36,2,2,4,64.75
181,36,2,5,9,62.75
182,36,2,10,0,0
183,36,2,0,0,0
184,37,2,1,0,0
185,37,2,0,0,0
186,37,2,0,0,0
187,37,2,0,0,0
188,37,2,0,0,0
189,38,3,1,0,0
190,38,3,0,0,0
191,38,3,0,0,0
192,38,3,0,0,0
193,38,3,0,0,0
199,40,2,1,4,0
200,40,2,5,10,0
201,40,2,11,15,0
202,40,2,16,20,0
203,40,2,21,0,0
204,41,2,1,0,0
205,41,2,0,0,0
206,41,2,0,0,0
207,41,2,0,0,0
208,41,2,0,0,0
209,43,1,1,4,0
210,43,1,5,10,0
211,43,1,11,15,0
212,43,1,16,20,0
213,43,1,21,0,0
214,43,2,1,4,0
215,43,2,5,10,0
216,43,2,11,15,0
217,43,2,16,20,0
218,43,2,21,0,0
219,44,1,1,4,0
220,44,1,5,10,0
221,44,1,11,15,0
222,44,1,16,20,0
223,44,1,21,0,0
224,45,1,1,4,0
225,45,1,5,10,0
226,45,1,11,15,0
227,45,1,16,20,0
228,45,1,21,0,0
229,46,1,1,4,0
230,46,1,5,10,0
231,46,1,11,15,0
232,46,1,16,20,0
233,46,1,21,0,0
234,47,1,1,4,0
235,47,1,5,10,0
236,47,1,11,15,0
237,47,1,16,20,0
238,47,1,21,0,0
239,48,1,1,1,69.5
240,48,1,2,4,67.5
241,48,1,5,9,65.5
242,48,1,10,0,0
243,48,1,0,0,0
244,48,2,1,4,0
245,48,2,5,10,0
246,48,2,11,15,0
247,48,2,16,20,0
248,48,2,21,0,0
249,49,1,1,4,0
250,49,1,5,10,0
251,49,1,11,15,0
252,49,1,16,20,0
253,49,1,21,0,0
259,51,1,1,4,0
260,51,1,5,10,0
261,51,1,11,15,0
262,51,1,16,20,0
263,51,1,21,0,0
269,53,1,1,0,0
270,53,1,0,0,0
271,53,1,0,0,0
272,53,1,0,0,0
273,53,1,0,0,0
299,58,1,1,3,95.5
300,58,1,4,9,85.5
301,58,1,10,19,75.5
302,58,1,20,0,0
303,58,1,0,0,0
304,59,2,1,0,0
305,59,2,0,0,0
306,59,2,0,0,0
307,59,2,0,0,0
308,59,2,0,0,0
309,60,1,1,4,0
310,60,1,5,10,0
311,60,1,11,15,0
312,60,1,16,20,0
313,60,1,21,0,0
314,60,2,1,2,91.75
315,60,2,3,11,88.75
316,60,2,12,35,86.75
317,60,2,36,0,0
318,60,2,0,0,0
319,61,2,1,1,143.75
320,61,2,2,4,139.75
321,61,2,5,9,137.75
322,61,2,10,0,0
323,61,2,0,0,0
324,62,1,1,4,0
325,62,1,5,10,0
326,62,1,11,15,0
327,62,1,16,20,0
328,62,1,21,0,0
329,62,2,1,1,58.75
330,62,2,2,5,56.75
331,62,2,6,17,51.15
332,62,2,18,0,0
333,62,2,0,0,0
354,66,1,1,4,0
355,66,1,5,10,0
356,66,1,11,15,0
357,66,1,16,20,0
358,66,1,21,0,0
359,66,2,1,1,81.75
360,66,2,2,4,78.75
361,66,2,5,9,74.75
362,66,2,10,0,0
363,66,2,0,0,0
364,68,2,1,0,0
365,68,2,0,0,0
366,68,2,0,0,0
367,68,2,0,0,0
368,68,2,0,0,0
374,70,2,1,4,75.75
375,70,2,5,10,0
376,70,2,11,15,0
377,70,2,16,20,0
378,70,2,21,0,0
419,90,5,1,5,0
420,90,5,6,0,0
421,90,5,0,0,0
422,90,5,0,0,0
423,90,5,0,0,0
424,91,5,1,5,0
425,91,5,6,0,0
426,91,5,0,0,0
