RecordId,ProductId,Size_Id,Min,Max,Price
299,58,1,1,3,95.5
300,58,1,4,9,85.5
301,58,1,10,19,75.5
714,15,10,1,3,45.7
715,15,10,4,11,43.7
716,15,10,12,23,42.7
754,44,10,1,1,37.95
755,44,10,2,4,35.95
756,44,10,5,9,33.95
759,44,16,1,1,41.95
760,44,16,2,4,39.95
761,44,16,5,9,37.95
1039,134,27,1,2,124.75
1040,134,27,3,5,121.75
1041,134,27,6,18,119.75
1044,134,29,1,0,122.75
1709,149,27,1,0,109.75
2544,330,72,1,5,87.75
2545,330,72,6,0,83.5
2549,330,19,1,5,105.75
2550,330,19,6,0,99.5
2629,371,69,1,4,138.75
2630,371,69,5,0,133.5
2664,338,74,1,4,34.75
2665,338,74,5,9,31.75
2666,338,74,10,24,29.75
3494,371,18,1,4,115.75
3495,371,18,5,0,110.5
4539,446,24,1,3,63.5
4540,446,24,4,10,61.5
4541,446,24,11,29,58.5
4549,446,48,1,3,79.5
4550,446,48,4,10,77.5
4551,446,48,11,29,74.5
5234,584,37,1,9,29.75
6079,699,20,1,3,69.75
6080,699,20,4,11,65.75
6789,810,36,1,3,34.75
6790,810,36,4,11,29.75
6791,810,36,12,35,27.75
6794,810,23,1,3,45.75
6795,810,23,4,11,38.75
6796,810,23,12,35,36.75
7739,694,69,1,11,23.75
7740,694,69,12,0,20.25
8623,1073,70,1,5,11.99
8624,1073,70,6,17,10.89
8625,1073,70,18,71,10.29
8626,1073,70,72,195,9.89
8628,1073,34,1,5,12.89
8629,1073,34,6,17,11.79
8630,1073,34,18,71,11.19
8631,1073,34,72,195,10.79
8933,1126,9,1,9,12.5
8934,1126,9,10,24,9.19
8935,1126,9,25,99,8.29
9886,1271,10,1,9,6.79
9887,1271,10,10,24,6.39
9888,1271,10,25,99,5.99
9986,1280,55,1,5,25.59
9987,1280,55,6,11,24.59
9988,1280,55,12,23,23.69
9989,1280,55,24,95,22.99
9991,1280,83,1,5,26.69
9992,1280,83,6,11,25.69
9993,1280,83,12,23,24.79
9994,1280,83,24,95,23.99
9996,1281,55,1,5,25.59
9997,1281,55,6,11,25.39
9998,1281,55,12,23,24.39
9999,1281,55,24,95,23.49
10001,1281,57,1,5,27.49
10002,1281,57,6,11,26.49
10003,1281,57,12,23,25.49
10004,1281,57,24,95,24.59
10006,1295,21,1,5,5.95
10007,1295,21,6,11,5.5
10008,1295,21,12,23,5.25
10009,1295,21,24,59,4.75
10011,1292,10,1,5,13.99
10012,1292,10,6,11,12.99
10013,1292,10,12,24,10.99
10016,1299,19,1,5,9.95
10017,1299,19,6,23,8.89
10018,1299,19,24,72,7.89
10021,1288,21,1,5,6.69
10022,1288,21,6,11,5.89
10023,1288,21,12,49,5.79
10026,1291,10,1,9,8.75
10027,1291,10,10,49,6.99
10028,1291,10,50,0,6.19
10031,1282,9,1,2,25.95
10032,1282,9,3,5,23.95
10033,1282,9,6,0,22.95
10036,1287,101,1,9,3.79
10037,1287,101,10,49,2.79
10038,1287,101,50,149,1.79
10041,1293,10,1,9,7.79
10042,1293,10,10,23,6.19
10043,1293,10,24,95,5.89
10061,1298,36,1,3,6.29
10062,1298,36,4,11,5.99
10063,1298,36,12,35,5.79
10066,1298,10,1,3,7.29
10067,1298,10,4,11,6.99
10068,1298,10,12,35,6.79
10071,1298,9,1,3,8.29
10072,1298,9,4,11,7.99
10073,1298,9,12,35,7.79
10076,1299,10,1,11,6.99
10077,1299,10,12,23,6.49
10078,1299,10,24,71,5.89
10086,1302,25,1,5,13.99
10087,1302,25,6,11,13.59
10088,1302,25,12,47,10.89
10091,1303,21,1,5,17.79
10092,1303,21,6,35,13.99
10096,1304,1,1,5,26.75
10101,1305,33,1,9,16.89
10102,1305,33,10,59,12.69
