Size_Id,Size_Label,SizeCategory,Is_Active
1,8,1,Y
2,12,1,Y
3,16,1,Y
4,20,1,Y
5,4.15,1,Y
6,1,1,Y
8,10,1,Y
9,7,1,Y
10,6,1,Y
11,5.25,1,Y
12,3.15,1,Y
13,9.75,1,Y
14,10.75,1,Y
15,5.18,1,Y
16,6.75,1,Y
17,6.25,1,Y
18,7.25,1,Y
19,7.5,1,Y
20,8.5,1,Y
21,4.5,1,Y
22,8.75,1,Y
23,5.5,1,Y
24,6.5,1,Y
25,9,1,Y
26,14,1,Y
27,13,1,Y
28,10.25,1,Y
29,15,1,Y
30,1.25,1,Y
31,2,1,Y
32,2.375,1,Y
33,7.75,1,Y
34,12.5,1,Y
35,14.75,1,Y
36,5,1,Y
37,5.75,1,Y
38,3.75,1,Y
39,9.5,1,Y
40,6.125,1,Y
41,14.5,1,Y
42,12.25,1,Y
43,13.75,1,Y
44,77.25,1,Y
45,28,1,Y
46,26,1,Y
47,11.5,1,Y
48,10.5,1,Y
49,15.5,1,Y
50,8.25,1,Y
51,3,1,Y
52,17,1,Y
53,18.5,1,Y
54,19.5,1,Y
55,21,1,Y
56,22.5,1,Y
57,24,1,Y
58,25.5,1,Y
59,16.5,1,Y
60,18,1,Y
61,11.75,1,Y
62,13.5,1,Y
63,9.125,1,Y
64,7.375,1,Y
65,7.875,1,Y
66,5.875,1,Y
67,4.125,1,Y
68,8.375,1,Y
69,9.25,1,Y
70,11,1,Y
71,12.75,1,Y
72,6.375,1,Y
73,3.375,1,Y
74,4,1,Y
75,2.5,1,Y
76,10.125,1,Y
77,60,1,Y
78,72,1,Y
79,96,1,Y
80,120,1,Y
81,150,1,Y
82,3.25,1,Y
83,23,1,Y
84,1.5,1,Y
85,1.75,1,Y
86,3.625,1,Y
87,11.25,1,Y
88,10.625,1,Y
89,9.625,1,Y
90,6.875,1,Y
91,3.875,1,Y
92,84,1,Y
93,24.5,1,Y
94,3.5,1,Y
95,80,1,Y
96,26.25,1,Y
97,19,1,Y
98,99,1,Y
99,115,1,Y
100,22,1,Y
101,2.25,1,Y
102,2.75,1,Y
103,15.25,1,Y
104,40,1,Y
105,48,1,Y
106,0.75,1,Y
107,0.875,1,Y
108,18,3,Y
109,2.125,1,Y
110,18.25,1,Y
111,73.5,1,Y
112,11,2,Y
113,20,2,Y
114,2.875,1,Y
115,21.5,1,Y
116,25,1,Y
117,4.75,1,Y
118,17.5,1,Y
119,30,1,Y
120,14.25,1,Y
121,34,1,Y
122,15,2,Y
123,27,1,Y
124,20.5,1,Y
125,4.25,1,Y
126,13.125,1,Y
127,13.25,1,Y
128,23.5,1,Y
129,23.75,1,Y
130,27.5,1,Y
131,38,1,Y
132,42,1,Y
133,36,1,Y
134,33,1,Y
135,31,1,Y
136,35,1,Y
137,39,1,Y
138,29,1,Y
139,6.8752,1,Y
140,2.625,1,Y
141,15.75,1,Y
142,32,1,Y
143,1.375,1,Y
144,16.25,1,Y
145,26.5,1,Y
146,17.75,1,Y
147,1.625,1,Y
148,78,1,Y
149,77,1,Y
150,1.125,1,Y
151,5,4,Y
152,2.3125,1,Y
153,4.375,1,Y
154,9.875,1,Y
155,19.75,1,Y
156,28.5,1,Y
157,30.5,1,Y
158,32.5,1,Y
159,33.5,1,Y
160,21.75,1,Y
161,29.5,1,Y
162,27.75,1,Y
163,28.75,1,Y
164,27.25,1,Y
165,26.75,1,Y
166,11.625,1,Y
167,5.375,1,Y
168,17.25,1,Y
169,21.25,1,Y
170,22.75,1,Y
171,25.25,1,Y
172,24.25,1,Y
173,25.75,1,Y
174,20.25,1,Y
175,23.25,1,Y
176,5.125,1,Y
177,1.875,1,Y
178,6.625,1,Y
179,7.625,1,Y
180,8.625,1,Y
181,9.375,1,Y
182,7.125,1,Y
183,51.5,1,Y
184,39.5,1,Y
185,24,3,Y
186,84,3,Y
187,72,3,Y
188,48,3,Y
189,40,3,Y
190,1.5625,1,Y
191,1.9375,1,Y
192,0,1,Y
193,52,1,Y
